"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"1205" "COG0534" "Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)" "V" "Defense mechanisms"
"1206" "COG3791" "Uncharacterized conserved protein (PDB:1X6M)" "S" "Function unknown"
"1207" "COG1014" "Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit (PorG) (PDB:1B0P)" "C" "Energy production and conversion"
"1208" "COG0102" "Ribosomal protein L13 (RplM) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1209" "COG1052" "Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase (LdhA) (PDB:1DXY)" "C" "Energy production and conversion"
"1210" "COG0450" "Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin) (AhpC) (PDB:2RII)" "V" "Defense mechanisms"
"1211" "COG2820" "Uridine phosphorylase (Udp) (PDB:1K3F)" "F" "Nucleotide transport and metabolism"
"1212" "COG0831" "Urease gamma subunit (UreA) (PDB:1A5K)" "E" "Amino acid transport and metabolism"
"1213" "COG0829" "Urease accessory protein UreH (UreH) (PDB:3SF5)" "O" "Posttranslational modification, protein turnover, chaperones"
"1214" "COG1846" "DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)" "K" "Transcription"
"1215" "COG2165" "Type II secretory pathway, pseudopilin PulG (PulG) (PDB:1AY2)" "N" "Cell motility"
"1216" "COG0285" "Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78)" "H" "Coenzyme transport and metabolism"
"1217" "COG0693" "Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)" "V" "Defense mechanisms"
"1218" "COG0337" "3-dehydroquinate synthetase (AroB) (PDB:3ZOK)" "E" "Amino acid transport and metabolism"
"1219" "COG0026" "Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R)" "F" "Nucleotide transport and metabolism"
"1220" "COG2107" "1,4-dihydroxy-6-naphtoate synthase (menaquinone biosynthesis, futalosine pathway) (MqnD) (PDB:2CZL)" "H" "Coenzyme transport and metabolism"
"1221" "COG2945" "Alpha/beta superfamily hydrolase (PDB:2FUK)" "R" "General function prediction only"
"1222" "COG0214" "Pyridoxal 5'-phosphate synthase subunit PdxS (PdxS) (PDB:2NV2)" "H" "Coenzyme transport and metabolism"
"1223" "COG0158" "Fructose-1,6-bisphosphatase (Fbp) (PDB:1BK4)" "G" "Carbohydrate transport and metabolism"
"1224" "COG0709" "Selenophosphate synthase (SelD) (PDB:2YYE)" "E" "Amino acid transport and metabolism"
"1225" "COG0168" "Trk-type K+ transport system, membrane component (TrkG) (PDB:3PJZ)" "P" "Inorganic ion transport and metabolism"
"1226" "COG2723" "Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase (BglB) (PDB:4HZ6)" "G" "Carbohydrate transport and metabolism"
"1227" "COG1878" "Kynurenine formamidase (PDB:1R61)" "E" "Amino acid transport and metabolism"
"1228" "COG0183" "Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)" "I" "Lipid transport and metabolism"
"1229" "COG0150" "Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI)" "F" "Nucleotide transport and metabolism"
"1230" "COG0205" "6-phosphofructokinase (PfkA) (PDB:1KZH)" "G" "Carbohydrate transport and metabolism"
"1231" "COG0712" "FoF1-type ATP synthase, delta subunit (AtpH) (PDB:1ABV)" "C" "Energy production and conversion"
"1232" "COG0501" "Zn-dependent protease with chaperone function (HtpX) (PDB:2YPT)" "O" "Posttranslational modification, protein turnover, chaperones"
"1233" "COG0536" "GTPase involved in cell partioning and DNA repair (Obg) (PDB:1LNZ)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1234" "COG0211" "Ribosomal protein L27 (RpmA) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1235" "COG0261" "Ribosomal protein L21 (RplU) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1236" "COG2334" "Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist (SrkA) (PDB:1ZYL)" "T" "Signal transduction mechanisms"
"1237" "COG0755" "ABC-type transport system involved in cytochrome c biogenesis, permease component (CcmC)" "O" "Posttranslational modification, protein turnover, chaperones"
"1238" "COG4531" "ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA (ZnuA) (PDB:2OGW)" "P" "Inorganic ion transport and metabolism"
"1239" "COG0461" "Orotate phosphoribosyltransferase (PyrE) (PDB:4WML)" "F" "Nucleotide transport and metabolism"
"1240" "COG1327" "Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains (NrdR)" "K" "Transcription"
"1241" "COG0218" "GTP-binding protein EngB required for normal cell division (EngB) (PDB:5UCV)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1242" "COG0339" "Zn-dependent oligopeptidase, M3 family (Dcp) (PDB:5L43) (PUBMED:25239919;31422053)" "O" "Posttranslational modification, protein turnover, chaperones"
"1243" "COG2258" "N-hydroxylaminopurine reductase YiiM, contains MOSC domain (YiiM) (PDB:1O65) (PUBMED:18312271;29459651)" "F" "Nucleotide transport and metabolism"
"1244" "COG4321" "Predicted DNA-binding protein, contains ribbon-helix-helix (RHH) domain (PDB:3KK4)" "R" "General function prediction only"
"1245" "COG0466" "ATP-dependent Lon protease, bacterial type (Lon) (PDB:6ON2)" "O" "Posttranslational modification, protein turnover, chaperones"
"1246" "COG1858" "Cytochrome c peroxidase (MauG) (PDB:1EB7)" "O" "Posttranslational modification, protein turnover, chaperones"
"1247" "COG0014" "Gamma-glutamyl phosphate reductase (ProA) (PDB:4GHK)" "E" "Amino acid transport and metabolism"
"1248" "COG1057" "Nicotinate-nucleotide adenylyltransferase NadD (NadD) (PDB:1YUM)" "H" "Coenzyme transport and metabolism"
"1249" "COG0134" "Indole-3-glycerol phosphate synthase (TrpC) (PDB:6BMA)" "E" "Amino acid transport and metabolism"
"1250" "COG5078" "Ubiquitin-protein ligase (PDB:1QCQ)" "O" "Posttranslational modification, protein turnover, chaperones"
"1251" "COG0174" "Glutamine synthetase (GlnA) (PDB:1F1H)" "E" "Amino acid transport and metabolism"
"1252" "COG2141" "Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)" "H" "Coenzyme transport and metabolism"
"1253" "COG3203" "Outer membrane porin OmpC/OmpF/PhoE (OmpC) (PDB:1PHO)" "M" "Cell wall/membrane/envelope biogenesis"
"1254" "COG5321" "Uncharacterized conserved protein (PDB:3DNX)" "S" "Function unknown"
"1255" "COG0608" "ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation (RecJ) (PDB:1IR6)" "L" "Replication, recombination and repair"
"1256" "COG0313" "16S rRNA C1402 (ribose-2'-O) methylase RsmI (RsmI) (PDB:3KWP) (PUBMED:24078611)" "J" "Translation, ribosomal structure and biogenesis"
"1257" "COG5360" "Uncharacterized conserved protein, heparinase superfamily" "R" "General function prediction only"
"1258" "COG1589" "Cell division septal protein FtsQ (FtsQ) (PDB:1YR1)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1259" "COG3765" "LPS O-antigen chain length determinant protein, WzzB/FepE family (WzzB) (PDB:3B8N)" "M" "Cell wall/membrane/envelope biogenesis"
"1260" "COG0742" "16S rRNA G966 N2-methylase RsmD (RsmD) (PDB:2IFT)" "J" "Translation, ribosomal structure and biogenesis"
"1261" "COG5476" "Microcystin degradation protein MlrC, contains DUF1485 domain (PDB:3IUU)" "R" "General function prediction only"
"1262" "COG2153" "Predicted N-acyltransferase, GNAT family (ElaA) (PDB:1XEB)" "R" "General function prediction only"
"1263" "COG1228" "Imidazolonepropionase or related amidohydrolase (HutI) (PDB:3OOQ)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1264" "COG0373" "Glutamyl-tRNA reductase (HemA) (PDB:2XOE)" "H" "Coenzyme transport and metabolism"
"1265" "COG0471" "Di- and tricarboxylate antiporter (CitT) (PDB:4F35)" "G" "Carbohydrate transport and metabolism"
"1266" "COG1387" "Histidinol phosphatase or related hydrolase of the PHP family (HIS2) (PDB:1M65)" "E" "Amino acid transport and metabolism"
"1267" "COG0452" "Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC (CoaBC) (PDB:3QJG)" "H" "Coenzyme transport and metabolism"
"1268" "COG2270" "MFS-type transporter involved in bile tolerance, Atg22 family (BtlA) (PUBMED:12583894)" "R" "General function prediction only"
"1269" "COG1173" "ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)" "E" "Amino acid transport and metabolism"
"1270" "COG3182" "PepSY-associated TM region (PiuB) (PUBMED:15124630)" "S" "Function unknown"
"1271" "COG4191" "Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)" "T" "Signal transduction mechanisms"
"1272" "COG3689" "Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family (YcgQ)" "S" "Function unknown"
"1273" "COG2718" "Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family (YeaH)" "R" "General function prediction only"
"1274" "COG1877" "Trehalose-6-phosphate phosphatase (OtsB) (PDB:1U02)" "G" "Carbohydrate transport and metabolism"
"1275" "COG0674" "Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit (PorA) (PDB:5C4I)" "C" "Energy production and conversion"
"1276" "COG1013" "Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit (PorB) (PDB:1B0P)" "C" "Energy production and conversion"
"1277" "COG0541" "Signal recognition particle GTPase (Ffh) (PDB:2V3C)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1278" "COG0780" "NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, C-terminal domain, T-fold superfamily (QueFC) (PDB:3BP1) (PUBMED:14660578;17384645)" "J" "Translation, ribosomal structure and biogenesis"
"1279" "COG3695" "Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain (Atl1) (PDB:2KIF) (PUBMED:19516334)" "K" "Transcription"
"1280" "COG1397" "ADP-ribosylglycohydrolase (DraG) (PDB:1T5J)" "O" "Posttranslational modification, protein turnover, chaperones"
"1281" "COG1187" "Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605 (RsuA) (PDB:1KSK)" "J" "Translation, ribosomal structure and biogenesis"
"1282" "COG3675" "Predicted lipase (Lip2) (PDB:1DT3)" "I" "Lipid transport and metabolism"
"1283" "COG0335" "Ribosomal protein L19 (RplS) (PDB:1VS6) (PUBMED:27941785)" "J" "Translation, ribosomal structure and biogenesis"
"1284" "COG5701" "Photosystem I reaction center subunit A1, PsaA (PsaA) (PDB:4KT0) (PUBMED:11687205;11418848)" "C" "Energy production and conversion"
"1285" "COG5702" "Photosystem I reaction center subunit A2, PsaB (PsaB) (PDB:4KT0) (PUBMED:11687205;11418848)" "C" "Energy production and conversion"
"1286" "COG3808" "Na+ or H+-translocating membrane pyrophosphatase (OVP1) (PDB:4A01) (PUBMED:11342551)" "C" "Energy production and conversion"
"1287" "COG1587" "Uroporphyrinogen-III synthase (HemD) (PDB:1JR2)" "H" "Coenzyme transport and metabolism"
"1288" "COG1391" "Glutamine synthetase adenylyltransferase (GlnE1) (PDB:1V4A)" "O" "Posttranslational modification, protein turnover, chaperones"
"1289" "COG3525" "N-acetyl-beta-hexosaminidase (Chb) (PDB:3RPM) (PUBMED:18063573)" "G" "Carbohydrate transport and metabolism"
"1290" "COG1294" "Cytochrome bd-type quinol oxidase, subunit 2 (AppB) (PDB:6RKO)" "C" "Energy production and conversion"
"1291" "COG0505" "Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)" "E" "Amino acid transport and metabolism"
"1292" "COG3197" "Cytochrome oxidase maturation protein, CcoS/FixS family (FixS)" "O" "Posttranslational modification, protein turnover, chaperones"
"1293" "COG5456" "Nitrogen fixation protein FixH (FixH)" "P" "Inorganic ion transport and metabolism"
"1294" "COG0348" "Polyferredoxin NapH (NapH) (PUBMED:27322068)" "C" "Energy production and conversion"
"1295" "COG0833" "Amino acid permease (LysP)" "E" "Amino acid transport and metabolism"
"1296" "COG0242" "Peptide deformylase (Def) (PDB:1BS4)" "J" "Translation, ribosomal structure and biogenesis"
"1297" "COG3774" "Mannosyltransferase OCH1 or related enzyme (OCH1)" "M" "Cell wall/membrane/envelope biogenesis"
"1298" "COG2609" "Pyruvate dehydrogenase complex, dehydrogenase (E1) component (AceE) (PDB:1L8A)" "C" "Energy production and conversion"
"1299" "COG0638" "20S proteasome, alpha and beta subunits (PRE1) (PDB:1FNT)" "O" "Posttranslational modification, protein turnover, chaperones"
"1300" "COG2606" "Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC (EbsC) (PDB:1DBU)" "J" "Translation, ribosomal structure and biogenesis"
"1301" "COG5274" "Cytochrome b involved in lipid metabolism (CYB5) (PDB:1AQA)" "C" "Energy production and conversion"
"1302" "COG0244" "Ribosomal protein L10 (RplJ) (PDB:5IT8)" "J" "Translation, ribosomal structure and biogenesis"
"1303" "COG4295" "Predicted RNA repair component, a phosphatase of H2Macro superfamily, DUF2263 family (PDB:5ZDA)" "R" "General function prediction only"
"1304" "COG0106" "Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase (HisA) (PDB:4U28)" "E" "Amino acid transport and metabolism"
"1305" "COG2206" "HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant) (HDGYP) (PDB:5Z7C) (PUBMED:23475961)" "T" "Signal transduction mechanisms"
"1306" "COG1362" "Aspartyl aminopeptidase (LAP4) (PDB:1Y7E)" "E" "Amino acid transport and metabolism"
"1307" "COG0027" "Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase) (PurT) (PDB:1KJ8)" "F" "Nucleotide transport and metabolism"
"1308" "COG5276" "Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain" "S" "Function unknown"
"1309" "COG0330" "Regulator of protease activity HflC, stomatin/prohibitin superfamily (HflC)" "O" "Posttranslational modification, protein turnover, chaperones"
"1310" "COG0110" "Acetyltransferase, isoleucine patch superfamily (WbbJ)" "R" "General function prediction only"
"1311" "COG5307" "Guanine-nucleotide exchange factor YEL1, contains Sec7 domain (PDB:1BC9)" "R" "General function prediction only"
"1312" "COG3392" "Adenine-specific DNA methylase" "L" "Replication, recombination and repair"
"1313" "COG0437" "Fe-S-cluster-containing dehydrogenase component (DMSO reductase) (HybA) (PDB:2VPW)" "C" "Energy production and conversion"
"1314" "COG0061" "NAD kinase (NadK) (PDB:1SUW)" "H" "Coenzyme transport and metabolism"
"1315" "COG0750" "Membrane-associated protease RseP, regulator of RpoE activity (RseP)" "O" "Posttranslational modification, protein turnover, chaperones"
"1316" "COG5718" "Photosystem II reaction center chlorophyll a-binding protein CP43, PsbC (PsbC) (PDB:1S5L) (PUBMED:20558739;25043005)" "C" "Energy production and conversion"
"1317" "COG4176" "ABC-type proline/glycine betaine transport system, permease component (ProW)" "E" "Amino acid transport and metabolism"
"1318" "COG2030" "Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)" "I" "Lipid transport and metabolism"
"1319" "COG2921" "Putative lipoate-binding regulatory protein, UPF0250 family (YbeD) (PDB:1RWU) (PUBMED:15547281)" "T" "Signal transduction mechanisms"
"1320" "COG0321" "Lipoate-protein ligase B (LipB) (PDB:2QHT) (PUBMED:19798051)" "H" "Coenzyme transport and metabolism"
"1321" "COG0084" "3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049)" "N" "Cell motility"
"1322" "COG1793" "ATP-dependent DNA ligase (CDC9) (PDB:1A0I)" "L" "Replication, recombination and repair"
"1323" "COG1928" "Dolichyl-phosphate-mannose--protein O-mannosyl transferase (PMT1) (PDB:1N4K)" "O" "Posttranslational modification, protein turnover, chaperones"
"1324" "COG2956" "Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain (LapB) (PDB:4ZLH) (PUBMED:24187084;24266962)" "M" "Cell wall/membrane/envelope biogenesis"
"1325" "COG1330" "Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V) (RecC) (PDB:1W36) (PUBMED:30601118)" "L" "Replication, recombination and repair"
"1326" "COG1237" "Metal-dependent hydrolase, beta-lactamase superfamily II (PDB:2P4Z)" "R" "General function prediction only"
"1327" "COG3917" "2-hydroxychromene-2-carboxylate isomerase (NahD)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1328" "COG4231" "TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit (IorA)" "C" "Energy production and conversion"
"1329" "COG0352" "Thiamine monophosphate synthase (ThiE) (PDB:1G4T) (PUBMED:19060138)" "H" "Coenzyme transport and metabolism"
"1330" "COG1364" "Glutamate N-acetyltransferase (ornithine transacetylase) (ArgJ) (PDB:1VRA)" "E" "Amino acid transport and metabolism"
"1331" "COG3634" "Alkyl hydroperoxide reductase subunit AhpF (AhpF) (PDB:4YKG)" "V" "Defense mechanisms"
"1332" "COG3170" "Type IV pilus assembly protein FimV (FimV)" "N" "Cell motility"
"1333" "COG2941" "Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family (ubiquinone biosynthesis) (Coq7)" "H" "Coenzyme transport and metabolism"
"1334" "COG1840" "ABC-type Fe3+ transport system, periplasmic component (AfuA) (PDB:6IVY)" "P" "Inorganic ion transport and metabolism"
"1335" "COG5761" "Cyanobacterial/chloroplast protein CP12, regulates Calvin cycle by forming a complex with GAPDH and phosphoribulokinase (Cp12) (PDB:2LJ9) (PUBMED:24523724;31570616)" "C" "Energy production and conversion"
"1336" "COG0426" "Flavorubredoxin (NorV) (PDB:4JHC)" "C" "Energy production and conversion"
"1337" "COG3018" "Flagellar basal body lipoprotein FlgP, LPP20 family (FlgP) (PUBMED:17041040;19592588;30559113)" "N" "Cell motility"
"1338" "COG1261" "Flagellar basal body P-ring formation protein FlgA (FlgA) (PDB:3VJP)" "N" "Cell motility"
"1339" "COG2747" "Negative regulator of flagellin synthesis (anti-sigma28 factor) (FlgM)" "K" "Transcription"
"1340" "COG1448" "Aspartate/aromatic aminotransferase (TyrB) (PDB:1AAM)" "E" "Amino acid transport and metabolism"
"1341" "COG4420" "Uncharacterized membrane protein" "S" "Function unknown"
"1342" "COG2909" "ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT (MalT)" "K" "Transcription"
